cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date
'11000','AW00011000',' Jon','Yang ','M','M','45936'
'11001','AW00011001','Eugene','Huang  ','S','M','45936'
'11002','AW00011002','Ruben',' Torres','M','M','45936'
'11003','AW00011003','Christy','  Zhu','S','F','45936'
'11004','AW00011004',' Elizabeth','Johnson','S','F','45936'
'11005','AW00011005','Julio','Ruiz','S','M','45936'
'11006','AW00011006','Janet','Alvarez','S','F','45936'
'11007','AW00011007','Marco','Mehta','M','M','45936'
'11008','AW00011008','Rob','Verhoff','S','F','45936'
'11009','AW00011009','Shannon','Carlson','S','M','45936'
'11010','AW00011010','Jacquelyn','Suarez','S','F','45936'
'11011','AW00011011','Curtis','Lu','M','M','45936'
'11012','AW00011012','  Lauren',' Walker','M','F','45936'
'11013','AW00011013',' Ian ',' Jenkins ','M','M','45936'
'11014','AW00011014','Sydney','Bennett','S','F','45936'
'11015','AW00011015','  Chloe','Young','S','F','45936'
'11016','AW00011016','Wyatt','Hill','M','M','45937'
'11017','AW00011017','Shannon','Wang','S','F','45937'
'11018','AW00011018','Clarence','Rai','S','M','45937'
'11019','AW00011019','Luke','Lal','S','M','45937'
'11020','AW00011020','Jordan','King','S','M','45937'
'11021','AW00011021',' Destiny','Wilson ','S','F','45937'
'11022','AW00011022','Ethan','Zhang','M','M','45937'
'11023','AW00011023','Seth','Edwards','M','M','45937'
'11024','AW00011024','Russell','Xie','M','M','45937'
'11025','AW00011025','Alejandro','Beck','M','M','45937'
'11026','AW00011026','Harold','Sai','S','M','45937'
'11027','AW00011027','Jessie','Zhao','M','M','45937'
'11028','AW00011028','Jill','Jimenez','M','F','45937'
'11029','AW00011029','Jimmy','Moreno','M','M','45937'
'11030','AW00011030','Bethany','Yuan','M','F','45937'
'11031','AW00011031','Theresa','Ramos','M','F','45937'
'11032','AW00011032','Denise','Stone','M','F','45937'
'11033','AW00011033','Jaime','Nath','M','M','45937'
'11034','AW00011034','Ebony','Gonzalez','M','F','45937'
'11035','AW00011035','Wendy','Dominguez','M','F','45937'
'11036','AW00011036','Jennifer','Russell','M','F','45937'
'11037','AW00011037','Chloe','Garcia','S','F','45937'
'11038','AW00011038','Diana','Hernandez','M','F','45937'
'11039','AW00011039','Marc','Martin','M','M','45937'
'11040','AW00011040','Jesse','Murphy','M','M','45937'
'11041','AW00011041','Amanda','Carter','M','F','45937'
'11042','AW00011042','Megan','Sanchez','M','F','45937'
'11043','AW00011043','Nathan','Simmons','M','M','45937'
'11044','AW00011044','Adam','Flores','M','M','45937'
'11045','AW00011045','Leonard','Nara','S','M','45937'
'11046','AW00011046','Christine','Yuan','M','F','45937'
'11047','AW00011047','Jaclyn','Lu','M','F','45937'
'11048','AW00011048','Jeremy','Powell','M','M','45937'
'11049','AW00011049','Carol','Rai','S','F','45937'
'11050','AW00011050','Alan','Zheng','M','M','45937'
'11051','AW00011051','Daniel','Johnson','S','M','45937'
'11052','AW00011052','Heidi','Lopez','S','F','45937'
'11053','AW00011053','Ana','Price','M','F','45937'
'11054','AW00011054','Deanna','Munoz','M','F','45937'
'11055','AW00011055','Gilbert','Raje','M','M','45937'
'11056','AW00011056','Michele','Nath','M','F','45937'
'11057','AW00011057','Carl','Andersen','M','M','45937'
'11058','AW00011058','Marc','Diaz','M','M','45937'
'11059','AW00011059','Ashlee','Andersen','S','F','45937'
'11060','AW00011060','Jon','Zhou','M','M','45937'
'11061','AW00011061','Todd','Gao','M','M','45937'
'11062','AW00011062','Noah','Powell','M','M','45937'
'11063','AW00011063',' Angela  ',' Murphy  ','S','F','45937'
'11064','AW00011064','Chase',' Reed  ','M','M','45937'
'11065','AW00011065','Jessica  ','Henderson ','M','F','45937'
'11066','AW00011066','Grace','  Butler','M','F','45937'
'11067','AW00011067',' Caleb',' Carter','S','M','45937'
'11068','AW00011068','Tiffany','Liang','S','F','45937'
'11069','AW00011069','Carolyn','Navarro','S','F','45937'
'11070','AW00011070',' Willie ',' Raji','M','M','45937'
'11071','AW00011071','Linda',' Serrano','S','F','45937'
'11072','AW00011072','Casey','Luo','S','F','45937'
'11073','AW00011073','Amy','Ye','S','F','45937'
'11074','AW00011074','Levi','Arun','S','M','45937'
'11075','AW00011075','Felicia','Jimenez','S','F','45937'
'11076','AW00011076','Blake','Anderson','S','M','45937'
'11077','AW00011077','Leah','Ye','S','F','45937'
'11078','AW00011078','Gina','Martin','S','F','45937'
'11079','AW00011079','Donald','Gonzalez','S','M','45937'
'11080','AW00011080','Damien','Chander','M','M','45937'
'11081','AW00011081','Savannah','Baker','M','F','45937'
'11082','AW00011082','Angela','Butler','S','F','45937'
'11083','AW00011083','Alyssa','Cox','M','F','45937'
'11084','AW00011084','Lucas','Phillips','S','M','45937'
'11085','AW00011085','Emily','Johnson','S','F','45937'
'11086','AW00011086','Ryan','  Brown','M','M','45937'
'11087','AW00011087','Tamara',' Liang','M','F','45937'
'11088','AW00011088','Hunter','Davis','M','M','45937'
'11089','AW00011089','Abigail','Price','S','F','45937'
'11090','AW00011090','Trevor','Bryant','S','M','45937'
'11091','AW00011091','Dalton','Perez','M','M','45937'
'11092','AW00011092','Cheryl','Diaz','M','F','45937'
'11093','AW00011093','Aimee','He','M','F','45937'
'11094','AW00011094','Cedric','Ma','S','M','45937'
'11095','AW00011095','Chad','Kumar','S','M','45937'
'11096','AW00011096','Andrés','Anand','M','M','45937'
'11097','AW00011097','Edwin','Nara','M','M','45937'
'11098','AW00011098','Mallory','Rubio','S','F','45937'
'11099','AW00011099','Adam','Ross','M','M','45937'
'11100','AW00011100','Latasha','Navarro','S','F','45937'
'11101','AW00011101','Abby','Sai','S','F','45937'
'11102','AW00011102','Julia','Nelson','S','F','45937'
'11103','AW00011103','Cassie','Chande','S','F','45937'
'11104','AW00011104','Edgar','Sara','M','M','45937'
'11105','AW00011105','Candace','Fernandez','S','F','45937'
'11106','AW00011106','Jessie','Liu','S','M','45937'
'11107','AW00011107','Bianca','Lin','M','F','45937'
'11108','AW00011108','Kari','Alvarez','S','F','45937'
'11109','AW00011109',' Ruben ','Kapoor ','S','M','45937'
'11110','AW00011110','Curtis','Yang','M','M','45937'
'11111','AW00011111','Meredith','Gutierrez','M','F','45937'
'11112','AW00011112','Crystal','Wang','M','F','45937'
'11113','AW00011113','Micheal','Blanco','M','M','45937'
'11114','AW00011114','Leslie','Moreno','S','F','45937'
'11115','AW00011115','Alvin','Cai','M','M','45937'
'11116','AW00011116','Clinton','Carlson','M','M','45937'
'11117','AW00011117','April','Deng','M','F','45937'
'11118','AW00011118','Alvin','Zeng','S','M','45937'
'11119','AW00011119','Evan','James','S','M','45937'
'11120','AW00011120','Beth','Jiménez','S','F','45937'
'11121','AW00011121','Orlando','Suarez','M','M','45937'
'11122','AW00011122','Byron','Vazquez','M','M','45937'
'11123','AW00011123','Philip','Alvarez','M','M','45937'
'11124','AW00011124','Ross','Jordan','S','M','45937'
'11125','AW00011125','Dana','Navarro','S','F','45937'
'11126','AW00011126','Shaun','Carson','M','M','45937'
'11127','AW00011127','Jan','Edwards','M','F','45937'
'11128','AW00011128','Samantha','Long','M','F','45937'
'11129','AW00011129','Julia','Wright','S','F','45937'
'11130','AW00011130','Caroline','Russell','M','F','45937'
'11131','AW00011131','Amanda','Rivera','M','F','45937'
'11132','AW00011132','Melissa','Richardson','S','F','45937'
'11133','AW00011133','Angela','Griffin','S','F','45937'
'11134','AW00011134','Larry','Townsend','S','M','45937'
'11135','AW00011135','Marcus','Harris','S','M','45937'
'11136','AW00011136','Brianna','Morgan','S','F','45937'
'11137','AW00011137','Jasmine','Taylor','M','F','45937'
'11138','AW00011138','Lauren','Davis','M','F','45937'
'11139','AW00011139','Tanya','Moreno','S','F','45937'
'11140','AW00011140',' Javier ','Alvarez','S','M','45937'
'11141','AW00011141',' Nicole','Ramirez','M','F','45937'
'11142','AW00011142','Eduardo','Patterson','S','M','45937'
'11143','AW00011143','Jonathan','Henderson','M','M','45937'
'11144','AW00011144','Edward','Hernandez','S','M','45937'
'11145','AW00011145','Jasmine','Coleman','S','F','45937'
'11146','AW00011146','Karla','Goel','S','F','45937'
'11147','AW00011147','Ernest','Wu','M','M','45937'
'11148','AW00011148','Ross','Vazquez','M','M','45937'
'11149','AW00011149','Theodore','Gill','M','M','45937'
'11150','AW00011150','Russell','Shen','S','M','45937'
'11151','AW00011151','Melinda','Gill','S','F','45937'
'11152','AW00011152','James','Williams','S','M','45937'
'11153','AW00011153','Angela','James','M','F','45937'
'11154','AW00011154','Megan','Walker','S','F','45937'
'11155','AW00011155','Hunter','Robinson','S','M','45937'
'11156','AW00011156','Maria','Roberts','S','F','45937'
'11157','AW00011157','Hannah','Long','M','F','45937'
'11158','AW00011158','Jason','Wright','S','M','45937'
'11159','AW00011159','Brianna','Hughes','S','F','45937'
'11160','AW00011160','Maurice','Tang','S','','45937'
'11161','AW00011161','Emily','Wood','S','','45937'
'11162','AW00011162','Chase','Cox','S','','45937'
'11163','AW00011163','Gabriel','Wang','M','','45937'
'11164','AW00011164','Devin','Brooks','S','','45937'
'11165','AW00011165','Jocelyn','Alexander','M','','45937'
'11166','AW00011166','Ashley','Martinez','S','','45937'
'11167','AW00011167','Jasmine',' Barnes','S','','45937'
'11168','AW00011168','David',' Rodriguez','S','','45937'
'11169','AW00011169','Bryce','Richardson','M','','45937'
'11170','AW00011170','Carol',' Howard','M','','45937'
'11171','AW00011171','Jonathan','Hill','S','','45937'
'11172','AW00011172','Gabrielle','Adams','M','','45937'
'11173','AW00011173','Sarah','Thomas','S','','45937'
'11174','AW00011174','Nicholas','Robinson','M','','45937'
'11175','AW00011175','Luis','Wang','S','','45937'
'11176','AW00011176','Mason','Roberts','M','','45937'
'11177','AW00011177','Jose','Flores','M','','45937'
'11178','AW00011178','Nathan','Johnson','M','','45937'
'11179','AW00011179','Molly','Rodriguez','M','','45937'
'11180','AW00011180','April','Anand','M','','45937'
'11181','AW00011181','Devin','Martin','M','','45937'
'11182','AW00011182','Stephanie','Torres','S','','45937'
'11183','AW00011183','Jasmine','Lee','S','','45937'
'11184','AW00011184','Meghan','Hernandez','S','','45937'
'11185','AW00011185','Ashley','Henderson','S','','45937'
'11186','AW00011186','Sarah','Price','S','','45937'
'11187','AW00011187','Jennifer','Cooper','M','','45937'
'11188','AW00011188','Catherine','Morris','M','','45937'
'11189','AW00011189','Lawrence','Blanco','S','','45937'
'11190','AW00011190','Carson','Bryant','M','','45937'
'11191','AW00011191','Kristi','Perez','S','','45937'
'11192','AW00011192','James','Brown','M','','45937'
'11193','AW00011193','Ian','Gray','M','','45937'
'11194','AW00011194','Jacqueline','Price','M','','45937'
'11195','AW00011195','Megan','Henderson','M','','45937'
'11196','AW00011196','Alfredo','Romero','M','','45937'
'11197','AW00011197','Andrea','Morris','M','','45938'
'11198','AW00011198','Brooke','Sanders','S','','45938'
'11199','AW00011199','Jacqueline','Bennett','M','','45938'
'11200','AW00011200','Jason','Griffin','M','','45938'
